repository,good_first,created_at,comments,url,title,number,flags,labels
keras-team/keras,no,2025-02-21T12:35:26Z,3,https://github.com/keras-team/keras/issues/20938,InvalidArgumentError: RaggedTensorToTensor Error in YOLOv8 Training with EvaluateCOCOMetricsCallback,20938,type:docs-bug,type:docs-bug
microsoft/autogen,no,2025-02-20T20:06:19Z,1,https://github.com/microsoft/autogen/issues/5629,Fix website accessibility issues,5629,documentation,documentation
sktime/sktime,no,2025-02-19T18:16:07Z,5,https://github.com/sktime/sktime/issues/7867,[DOC] 📖 Improve Codebase Walkthrough for New Contributors,7867,documentation,documentation
microsoft/autogen,no,2025-02-19T02:27:08Z,2,https://github.com/microsoft/autogen/issues/5612,Improve security recommendations for Magentic-One,5612,documentation,documentation; proj-magentic-one
microsoft/autogen,no,2025-02-13T21:14:38Z,8,https://github.com/microsoft/autogen/issues/5535,Document supervisor / dynamic routing pattern in Core API doc,5535,documentation,documentation; proj-core
Lightning-AI/pytorch-lightning,no,2025-02-10T17:50:07Z,0,https://github.com/Lightning-AI/pytorch-lightning/issues/20583,Comet: Undocumented and incorrectly described function,20583,docs,docs; 3rd party; logger: comet
ray-project/ray,no,2025-02-10T15:33:12Z,6,https://github.com/ray-project/ray/issues/50378,[StateAPI]  StateAPI request truncates recent elements,50378,good-first-issue,bug; good-first-issue; P1; fix-error-msg; usability; core; community-backlog
sktime/sktime,no,2025-02-10T11:57:02Z,3,https://github.com/sktime/sktime/issues/7802,[DOC] reviewer guide and clear link to risk matrix in guide and gov docs,7802,documentation,documentation
numpy/numpy,no,2025-02-09T19:46:07Z,3,https://github.com/numpy/numpy/issues/28311,DOC: Incomplete documentation in ndarray functions,28311,04 - Documentation,04 - Documentation
Lightning-AI/pytorch-lightning,no,2025-02-09T18:03:58Z,0,https://github.com/Lightning-AI/pytorch-lightning/issues/20580,The best practice to monitor the data loading time & training forward backward time,20580,docs,question; docs; profiler
microsoft/autogen,no,2025-02-07T20:45:57Z,14,https://github.com/microsoft/autogen/issues/5439,"When using SemanticKernel adapter with AWS Bedrock Claude, got Tool Call Error: The tool 'autogen-tools_get_weather' is not available.",5439,help wanted,help wanted; proj-extensions
pytorch/pytorch,no,2025-02-07T09:48:06Z,3,https://github.com/pytorch/pytorch/issues/146691,MPS support `torch.linalg.norm` on complex numbers,146691,actionable,triaged; module: complex; enhancement; module: linear algebra; actionable
ray-project/ray,no,2025-02-05T17:15:42Z,0,https://github.com/ray-project/ray/issues/50257,Unclear how to use image_uri when submitting ray jobs,50257,docs,triage; docs; community-backlog
shap/shap,no,2025-02-05T02:47:14Z,4,https://github.com/shap/shap/issues/3988,ENH: Support for Liquid Neural Networks,3988,help wanted,enhancement; help wanted
ray-project/ray,no,2025-02-04T10:22:17Z,0,https://github.com/ray-project/ray/issues/50220,[Cluster] Missing local provided type from cluster config docs,50220,docs,triage; docs; community-backlog
gradio-app/gradio,no,2025-02-04T02:40:16Z,0,https://github.com/gradio-app/gradio/issues/10498,Spelling mistake,10498,docs/website,docs/website
microsoft/autogen,no,2025-02-03T06:57:27Z,1,https://github.com/microsoft/autogen/issues/5333,[Python] Expand Core API documentation on RPC and Pub/Sub messaging,5333,documentation,documentation; proj-core
pymc-devs/pymc,no,2025-01-31T19:45:28Z,3,https://github.com/pymc-devs/pymc/issues/7669,DOC: The documentation websites frequently hang,7669,docs,docs
microsoft/autogen,no,2025-01-31T19:08:55Z,0,https://github.com/microsoft/autogen/issues/5298,Fully specify agentchat protocol,5298,documentation,documentation; x-lang
microsoft/autogen,no,2025-01-31T19:05:50Z,0,https://github.com/microsoft/autogen/issues/5293,Dotnet migration guide,5293,documentation,documentation; dotnet
ray-project/ray,no,2025-01-31T18:56:36Z,0,https://github.com/ray-project/ray/issues/50164,[core][docs] Document ray_config_def.h,50164,docs,P1; docs; core; community-backlog
